KEGGID	DeltaG0Prime	DeltaGUncertainty	DeltaGmPrime
R00161	C00002 + C00061 <=> C00013 + C00016	-13.535849502681252 	3.950330123303716 	-13.535849502681252 
R00162	C00002 + C00017 <=> C00008 + C00562	0.0	0.0	0.0
R00164	C00562 + C00001 <=> C00017 + C00009	0.0	0.0	0.0
R00165	C00017 <=> C00886	0.0	0.0	0.0
R00166	C00017 <=> C02047	0.0	0.0	0.0
R00167	C02163 <=> C00613	0.0	0.0	0.0
R00168	C00017 <=> C02554	0.0	0.0	0.0
R00169	C00017 <=> C02987	0.0	0.0	0.0
R00170	C00017 <=> C03127	0.0	0.0	0.0
R00172	C00017 <=> C05336	0.0	0.0	0.0
R00173	C00018 + C00001 <=> C00250 + C00009	-10.791836919525396 	1.9923619740428513 	-27.906674454246428 
R00174	C00002 + C00250 <=> C00008 + C00018	-14.978862037185827 	1.9928963598204716 	-14.978862037185827 
R00175	C00019 + C00001 <=> C00170 + C00263	56.28630050508954 	100000.00025429639 	39.17146297036851 
R00177	C00009 + C00013 + C00019 <=> C00002 + C00073 + C00001	93.94695406358835 	100000.00015642747 	111.06179159830938 
R00178	C00019 + C00080 <=> C01137 + C00011	-22.45243731564497 	3.1386987935418627 	-39.567274850366005 
R00179	C00019 <=> C01234 + C00170	-31.75805355733874 	100000.00023328711 	-48.872891092059774 
R00180	C00019 <=> C00170 + C02926	62.98325385610858 	100000.00019278044 	45.86841632138755 
R00181	C00020 + C00001 <=> C00130 + C00014	-31.643780781063512 	1.9573460847023876 	-48.758618315784545 
R00182	C00020 + C00001 <=> C00147 + C00117	-17.549037042397902 	1.528770893195936 	-34.66387457711893 
R00183	C00020 + C00001 <=> C00212 + C00009	-14.100414242030064 	1.439800904063167 	-31.215251776751096 
R00184	C01260 + C00001 <=> C00002 + C00020	-29.497471205819288 	8.330707220847012 	-46.61230874054032 
R00185	C00002 + C00212 <=> C00008 + C00020	-11.670284714680704 	1.4569888725512754 	-11.670284714680704 
R00187	C06197 + C00001 <=> C00008 + C00020	0.0	0.0	0.0
R00188	C00054 + C00001 <=> C00020 + C00009	-10.319660311560312 	3.121206822346723 	-27.434497846281346 
R00189	C00002 + C00857 + C00014 <=> C00020 + C00013 + C00003	-14.76569499414353 	2.802125818276608 	-14.76569499414353 
R00190	C00020 + C00013 <=> C00147 + C00119	16.07519257848687 	1.3648440774329298 	16.07519257848687 
R00191	C00575 + C00001 <=> C00020	-42.45962414419085 	1.1490647997661112 	-42.45962414419085 
R00192	C00021 + C00001 <=> C00212 + C00155	34.79731842803162 	2.9943729472208243 	17.68248089331059 
R00193	C00021 + C00001 <=> C03431 + C00014	-23.681659730447414 	2.8833893424968187 	-40.79649726516845 
R00194	C00021 + C00001 <=> C03539 + C00147	-15.577663832428872 	2.809017237441507 	-32.6925013671499 
R00195	C06393 + C00001 <=> C00022 + 2 C00014	-4.055615339195697 	3.6178885609782285 	-38.28529040863776 
R00196	C00186 + 2 C00125 <=> C00022 + 2 C00126 + 2 C00080	0.0	0.0	0.0
R00197	C00256 + 2 C00125 <=> C00022 + 2 C00126 + 2 C00080	0.0	0.0	0.0
R00198	C00256 + 2 C01070 <=> C00022 + 2 C01071 + 2 C00080	0.0	0.0	0.0
R00199	C00002 + C00022 + C00001 <=> C00020 + C00074 + C00009	3.293144374464177 	0.5086032140938612 	-13.821693160256856 
R00200	C00002 + C00022 <=> C00008 + C00074	27.2928783767016 	0.43256323738249797 	27.2928783767016 
R00203	C00546 + C00003 + C00001 <=> C00022 + C00004 + C00080	-27.53985803366126 	2.0755501703021504 	-27.53985803366126 
R00205	C00546 + C00006 + C00001 <=> C00022 + C00005 + C00080	-27.561333369450182 	2.0974508194860952 	-27.561333369450182 
R00206	C00002 + C00022 + C00009 <=> C00020 + C00074 + C00013	17.779287411977137 	0.5008238062465364 	17.779287411977137 
R00207	C00022 + C00009 + C00007 <=> C00227 + C00027 + C00011	-158.75764150862256 	5.352305621026726 	-158.75764150862256 
R00208	C00074 + C00001 <=> C00022 + C00009	-53.06357733341289 	0.5508798154134908 	-70.17841486813393 
R00209	C00022 + C00010 + C00003 <=> C00024 + C00011 + C00004 + C00080	-35.636500335403134 	3.2913681444878566 	-35.636500335403134 
R00210	C00022 + C00010 + C00006 <=> C00024 + C00011 + C00005 + C00080	-35.657975671191615 	3.300040295641615 	-35.657975671191615 
R00211	C00022 + C00010 + C00007 <=> C00027 + C00024 + C00011	-168.3850065709856 	5.337103338081635 	-168.3850065709856 
R00212	C00024 + C00058 <=> C00010 + C00022	20.908471257142853 	1.520985024526761 	20.908471257142853 
R00213	C03015 + C00001 <=> C00022 + 2 C00014 + C00011	-390.7986782291951 	100000.00011027692 	-442.1431908333582 
R00214	C00149 + C00003 <=> C00022 + C00011 + C00004 + C00080	13.153439948633636 	3.1848057046870135 	-3.961397586087397 
R00215	C00497 + C00003 <=> C00022 + C00011 + C00004 + C00080	22.224654015077054 	5.299685857527961 	5.10981648035602 
R00216	C00149 + C00006 <=> C00022 + C00011 + C00005 + C00080	13.131964612844987 	3.2039811032842107 	-3.982872921876046 
R00217	C00036 <=> C00022 + C00011	-16.51428691089147 	3.1859242613645353 	-33.629124445612504 
R00218	C03248 + C00001 <=> C00022 + C00011	119.03054173842725 	100000.00006204809 	101.91570420370621 
R00219	C00022 + C00011 <=> C03981	22.23051603371065 	4.372228578905645 	39.34535356843168 
R00220	C00065 <=> C00022 + C00014	-28.958063220027388 	0.9447258275669922 	-46.07290075474842 
R00221	C00740 <=> C00022 + C00014	-28.49877100227889 	2.9985156019747503 	-45.61360853699992 
R00223	C00716 <=> C00022 + C00014	-28.958063220027388 	0.9447258275669922 	-46.07290075474842 
R00224	C00022 <=> C00084 + C00011	-18.00324884199805 	3.3475810587022625 	-35.118086376719084 
R00226	C06010 + C00011 <=> 2 C00022	35.20756262425774 	3.782378287499292 	35.20756262425774 
R00227	C00024 + C00001 <=> C00010 + C00033	-30.346673736896854 	0.5298904844814434 	-47.46151127161789 
R00228	C00084 + C00010 + C00003 <=> C00024 + C00004 + C00080	-17.63325149340462 	1.2258752102747321 	-0.5184139586835883 
R00229	C00002 + C00033 + C00010 <=> C00008 + C00024 + C00009	4.575974780185717 	0.38888570494238284 	4.575974780185717 
R00230	C00024 + C00009 <=> C00010 + C00227	9.627365062362822 	0.6193812345651034 	9.627365062362822 
R00233	C00083 <=> C00024 + C00011	-16.42537659455462 	3.2317455601431724 	-33.540214129275654 
R00235	C00002 + C00033 + C00010 <=> C00020 + C00013 + C00024	-4.937616184538349 	0.41308447693868894 	-4.937616184538349 
R00236	C05993 + C00010 <=> C00020 + C00024	-1182.1277859429022 	100000.00004878636 	-1182.1277859429022 
R00237	C01011 <=> C00024 + C00022	12.125060533633576 	1.6097770185029863 	-4.989777001087457 
R00238	2 C00024 <=> C00010 + C00332	25.561085555716186 	0.8802283179665744 	25.561085555716186 
R00239	C00002 + C00025 <=> C00008 + C03287	27.339760493574882 	2.3071806449769396 	27.339760493574882 
R00241	C00002 + C00025 <=> C00008 + C05765	24.428983091719534 	2.3071806449769396 	24.428983091719534 
R00243	C00025 + C00003 + C00001 <=> C00026 + C00014 + C00004 + C00080	36.46075588266491 	0.2839158302272353 	19.34591834794388 
R00245	C01165 + C00003 + C00001 <=> C00025 + C00004 + C00080	-43.545812263147255 	2.02948971036382 	-43.545812263147255 
R00248	C00025 + C00006 + C00001 <=> C00026 + C00014 + C00005 + C00080	36.439280546876034 	0.3826076267691487 	19.324443012155 
R00250	C00025 + C00007 + C00001 <=> C00026 + C00014 + C00027	-96.28775035291746 	4.279475659776369 	-113.40258788763849 
R00251	C00002 + C01879 + 2 C00001 <=> C00008 + C00009 + C00025	-3.8629597786089676 	3.2959116960066583 	-20.97779731333 
R00253	C00002 + C00025 + C00014 <=> C00008 + C00009 + C00064	-13.976590184778914 	0.8447337785901159 	-13.976590184778914 
R00254	C00025 + C00014 + C00011 <=> C05829 + C00001	58.356078007542536 	4.8550999168220335 	92.5857530769846 
R00256	C00064 + C00001 <=> C00025 + C00014	-11.794108771931901 	0.8781698016655602 	-28.908946306652936 
R00257	C00002 + C00857 + C00064 + C00001 <=> C00020 + C00013 + C00003 + C00025	-26.559803766075163 	2.94611917462763 	-43.674641300796196 
