R10835	-R10835
R10837	-R10837
R10833	-R10833
R02936	-R02936
R02937	-R02937
R02935	-R02935
R10839	-R10839
R02684	-R02684
R08065	-R08065
R07093	-R07093
R02575	-R02575
R12087	-R12087
R12089	-R12089
R12264	-R12264
R01906	-R01906
R06307	-R06307
R01909	-R01909
R01655	-R01655
R05150	-R05150
R08608	-R08608
R02109	-R02109
R08607	-R08607
R05486	-R05486
R10643	-R10643
R10641	-R10641
R10640	-R10640
R10131	-R10131
R10130	-R10130
R06934	-R06934
R05371	-R05371
R05370	-R05370
R04688	-R04688
R04682	-R04682
R04683	-R04683
R04681	-R04681
R04686	-R04686
R04687	-R04687
R03721	-R03721
R04424	-R04424
R04352	-R04352
R11510	-R11510
R11511	-R11511
R11512	-R11512
R11513	-R11513
R04359	-R04359
R11517	-R11517
R11770	-R11770
R11778	-R11778
R11779	-R11779
R08215	-R08215
R08214	-R08214
R08217	-R08217
R07097	-R07097
R02740	-R02740
R02748	-R02748
R04466	-R04466
R00428	-R00428
R00429	-R00429
R00420	-R00420
R06117	-R06117
R02352	-R02352
R02353	-R02353
R08227	-R08227
R01467	-R01467
R00848	-R00848
R00847	-R00847
R11286	-R11286
R04163	-R04163
R04161	-R04161
R04165	-R04165
R11288	-R11288
R09797	-R09797
R09791	-R09791
R09790	-R09790
R10584	-R10584
R10588	-R10588
R05740	-R05740
R05744	-R05744
R05746	-R05746
R05748	-R05748
R04371	-R04371
R10362	-R10362
R10365	-R10365
R10366	-R10366
R10367	-R10367
R02914	-R02914
R02915	-R02915
R11189	-R11189
R11183	-R11183
R11186	-R11186
R11185	-R11185
R11184	-R11184
R00215	-R00215
R00214	-R00214
R00216	-R00216
R07835	-R07835
R07837	-R07837
R08823	-R08823
R07832	-R07832
R12063	-R12063
R05297	-R05297
R07184	-R07184
R03746	-R03746
R03745	-R03745
R03742	-R03742
R01920	-R01920
R01923	-R01923
R01926	-R01926
R01928	-R01928
R06327	-R06327
R06326	-R06326
R06325	-R06325
R06324	-R06324
R03290	-R03290
R03292	-R03292
R03296	-R03296
R03297	-R03297
R06877	-R06877
R06589	-R06589
R06588	-R06588
R06583	-R06583
R05177	-R05177
R05176	-R05176
R05172	-R05172
R00982	-R00982
R00984	-R00984
R01582	-R01582
R01583	-R01583
R01580	-R01580
R01586	-R01586
R01587	-R01587
R00185	-R00185
R00187	-R00187
R00189	-R00189
R06913	-R06913
R03982	-R03982
R07773	-R07773
R10113	-R10113
R07772	-R07772
R11579	-R11579
R05882	-R05882
R08574	-R08574
R02765	-R02765
R08455	-R08455
R00405	-R00405
R00406	-R00406
R00400	-R00400
R00401	-R00401
R00409	-R00409
R08233	-R08233
R08232	-R08232
R08230	-R08230
R08237	-R08237
R08236	-R08236
R08235	-R08235
R08239	-R08239
R02378	-R02378
R02379	-R02379
R02375	-R02375
R02372	-R02372
R04716	-R04716
R11891	-R11891
R11892	-R11892
R11895	-R11895
R11897	-R11897
R11896	-R11896
R01447	-R01447
R01445	-R01445
R09806	-R09806
R09804	-R09804
R09800	-R09800
R09432	-R09432
R09433	-R09433
R09431	-R09431
R00961	-R00961
R00960	-R00960
R10569	-R10569
R10566	-R10566
R10564	-R10564
R10417	-R10417
R02970	-R02970
R02976	-R02976
R02975	-R02975
R03920	-R03920
R09115	-R09115
R10302	-R10302
R09118	-R09118
R06313	-R06313
R04618	-R04618
R06311	-R06311
R00130	-R00130
R00230	-R00230
R00237	-R00237
R00235	-R00235
R12047	-R12047
R12046	-R12046
R03768	-R03768
R03769	-R03769
R03761	-R03761
R01942	-R01942
R01941	-R01941
R01946	-R01946
R07504	-R07504
R07505	-R07505
R07501	-R07501
R02499	-R02499
R01616	-R01616
R01615	-R01615
R02491	-R02491
R02490	-R02490
R01619	-R01619
R09473	-R09473
R02141	-R02141
R02147	-R02147
R09612	-R09612
R09613	-R09613
R05499	-R05499
R09729	-R09729
R03968	-R03968
R03966	-R03966
R03965	-R03965
R04640	-R04640
R10170	-R10170
R10174	-R10174
R10179	-R10179
R10178	-R10178
R11228	-R11228
R11227	-R11227
R11224	-R11224
R04398	-R04398
R04399	-R04399
R04467	-R04467
R09536	-R09536
R10797	-R10797
R10799	-R10799
R10798	-R10798
R02700	-R02700
R02703	-R02703
R08430	-R08430
R08432	-R08432
R08437	-R08437
R04420	-R04420
R09982	-R09982
R07288	-R07288
R05809	-R05809
R05496	-R05496
R07869	-R07869
R07868	-R07868
R07867	-R07867
R07865	-R07865
R07864	-R07864
R07863	-R07863
R03157	-R03157
R03155	-R03155
R03154	-R03154
R03153	-R03153
R01137	-R01137
R01135	-R01135
R01422	-R01422
R00038	-R00038
R07100	-R07100
R09280	-R09280
R09283	-R09283
R09282	-R09282
R10092	-R10092
R10093	-R10093
R10096	-R10096
R10094	-R10094
R07276	-R07276
R07277	-R07277
R09989	-R09989
R07273	-R07273
R10322	-R10322
R10323	-R10323
R02955	-R02955
R09138	-R09138
R09137	-R09137
R09135	-R09135
R05814	-R05814
R05815	-R05815
R06876	-R06876
R00866	-R00866
R07279	-R07279
R05592	-R05592
R05812	-R05812
R09516	-R09516
R04813	-R04813
R04077	-R04077
R04078	-R04078
R12025	-R12025
R12024	-R12024
R11051	-R11051
R11059	-R11059
R10127	-R10127
R07677	-R07677
R07675	-R07675
R07678	-R07678
R08379	-R08379
R03703	-R03703
R03700	-R03700
R01964	-R01964
R01965	-R01965
R01967	-R01967
R01961	-R01961
R05369	-R05369
R07497	-R07497
R07495	-R07495
R07491	-R07491
R05495	-R05495
R05497	-R05497
R01056	-R01056
R01057	-R01057
R01050	-R01050
R01052	-R01052
R00615	-R00615
R00616	-R00616
R00948	-R00948
R00945	-R00945
R06726	-R06726
R07138	-R07138
R06879	-R06879
R07023	-R07023
R06878	-R06878
R01090	-R01090
R01091	-R01091
R01092	-R01092
R03948	-R03948
R03947	-R03947
R03736	-R03736
R05393	-R05393
R05392	-R05392
R05391	-R05391
R05390	-R05390
R10153	-R10153
R10150	-R10150
R09639	-R09639
R05398	-R05398
R03498	-R03498
R07026	-R07026
R07025	-R07025
R07024	-R07024
R02723	-R02723
R02727	-R02727
R02725	-R02725
R02724	-R02724
R02729	-R02729
R02728	-R02728
R00372	-R00372
R00373	-R00373
R04774	-R04774
R07047	-R07047
R11859	-R11859
R11857	-R11857
R11856	-R11856
R11853	-R11853
R03131	-R03131
R03130	-R03130
R03132	-R03132
R03135	-R03135
R03134	-R03134
R01158	-R01158
R07040	-R07040
R09531	-R09531
R09849	-R09849
R07043	-R07043
R10343	-R10343
R04884	-R04884
R10341	-R10341
R07042	-R07042
R11297	-R11297
R04887	-R04887
R05092	-R05092
R11296	-R11296
R04881	-R04881
R11294	-R11294
R10838	-R10838
R02262	-R02262
R02263	-R02263
R02260	-R02260
R02261	-R02261
R02931	-R02931
R02268	-R02268
R02269	-R02269
R10523	-R10523
R10520	-R10520
R05276	-R05276
R09158	-R09158
R05604	-R05604
R09151	-R09151
R09152	-R09152
R09155	-R09155
R09154	-R09154
R09157	-R09157
R00891	-R00891
R11693	-R11693
R11692	-R11692
R11697	-R11697
R11696	-R11696
R11694	-R11694
R11699	-R11699
R11698	-R11698
R04059	-R04059
R11876	-R11876
R04057	-R04057
R04051	-R04051
R11874	-R11874
R11079	-R11079
R11078	-R11078
R11076	-R11076
R11073	-R11073
R07128	-R07128
R03725	-R03725
R03727	-R03727
R03723	-R03723
R01983	-R01983
R01980	-R01980
R09903	-R09903
R09054	-R09054
R09055	-R09055
R09056	-R09056
R09550	-R09550
R09052	-R09052
R09053	-R09053
R00585	-R00585
R00584	-R00584
R00586	-R00586
R00589	-R00589
R00588	-R00588
R09553	-R09553
R09059	-R09059
R06529	-R06529
R06525	-R06525
R09552	-R09552
R02181	-R02181
R02180	-R02180
R06773	-R06773
R07320	-R07320
R00967	-R00967
R00966	-R00966
R09430	-R09430
R00962	-R00962
R09434	-R09434
R00968	-R00968
R04602	-R04602
R03925	-R03925
R01216	-R01216
R01214	-R01214
R01215	-R01215
R01218	-R01218
R09388	-R09388
R04930	-R04930
R04931	-R04931
R04932	-R04932
R04936	-R04936
R11123	-R11123
R05454	-R05454
R05516	-R05516
R05510	-R05510
R00039	-R00039
R11263	-R11263
R11266	-R11266
R11264	-R11264
R11265	-R11265
R11269	-R11269
R10047	-R10047
R08165	-R08165
R08164	-R08164
R00350	-R00350
